# Final state angular momentum:   1
# Broadening parameter (in eV):    0.700
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
   37.32732733    0.00094706
   37.38738739    0.00096506
   37.44744745    0.00098389
   37.50750751    0.00100296
   37.56756757    0.00102160
   37.62762763    0.00103907
   37.68768769    0.00105461
   37.74774775    0.00106755
   37.80780781    0.00107731
   37.86786787    0.00108356
   37.92792793    0.00108619
   37.98798799    0.00108533
   38.04804805    0.00108132
   38.10810811    0.00107467
   38.16816817    0.00106596
   38.22822823    0.00105580
   38.28828829    0.00104476
   38.34834835    0.00103338
   38.40840841    0.00102212
   38.46846847    0.00101136
   38.52852853    0.00100141
   38.58858859    0.00099254
   38.64864865    0.00098497
   38.70870871    0.00097891
   38.76876877    0.00097456
   38.82882883    0.00097208
   38.88888889    0.00097166
   38.94894895    0.00097342
   39.00900901    0.00097749
   39.06906907    0.00098393
   39.12912913    0.00099275
   39.18918919    0.00100389
   39.24924925    0.00101724
   39.30930931    0.00103259
   39.36936937    0.00104966
   39.42942943    0.00106813
   39.48948949    0.00108758
   39.54954955    0.00110756
   39.60960961    0.00112758
   39.66966967    0.00114714
   39.72972973    0.00116576
   39.78978979    0.00118303
   39.84984985    0.00119864
   39.90990991    0.00121237
   39.96996997    0.00122418
   40.03003003    0.00123413
   40.09009009    0.00124235
   40.15015015    0.00124902
   40.21021021    0.00125430
   40.27027027    0.00125828
   40.33033033    0.00126096
   40.39039039    0.00126229
   40.45045045    0.00126214
   40.51051051    0.00126038
   40.57057057    0.00125692
   40.63063063    0.00125173
   40.69069069    0.00124487
   40.75075075    0.00123646
   40.81081081    0.00122671
   40.87087087    0.00121585
   40.93093093    0.00120415
   40.99099099    0.00119185
   41.05105105    0.00117918
   41.11111111    0.00116635
   41.17117117    0.00115350
   41.23123123    0.00114075
   41.29129129    0.00112817
   41.35135135    0.00111584
   41.41141141    0.00110379
   41.47147147    0.00109207
   41.53153153    0.00108070
   41.59159159    0.00106975
   41.65165165    0.00105930
   41.71171171    0.00104946
   41.77177177    0.00104038
   41.83183183    0.00103223
   41.89189189    0.00102522
   41.95195195    0.00101956
   42.01201201    0.00101547
   42.07207207    0.00101312
   42.13213213    0.00101267
   42.19219219    0.00101419
   42.25225225    0.00101769
   42.31231231    0.00102313
   42.37237237    0.00103040
   42.43243243    0.00103937
   42.49249249    0.00104988
   42.55255255    0.00106185
   42.61261261    0.00107521
   42.67267267    0.00108999
   42.73273273    0.00110627
   42.79279279    0.00112416
   42.85285285    0.00114374
   42.91291291    0.00116511
   42.97297297    0.00118828
   43.03303303    0.00121324
   43.09309309    0.00123991
   43.15315315    0.00126812
   43.21321321    0.00129764
   43.27327327    0.00132814
   43.33333333    0.00135920
   43.39339339    0.00139030
   43.45345345    0.00142087
   43.51351351    0.00145029
   43.57357357    0.00147791
   43.63363363    0.00150314
   43.69369369    0.00152541
   43.75375375    0.00154422
   43.81381381    0.00155912
   43.87387387    0.00156975
   43.93393393    0.00157585
   43.99399399    0.00157730
   44.05405405    0.00157415
   44.11411411    0.00156663
   44.17417417    0.00155516
   44.23423423    0.00154032
   44.29429429    0.00152282
   44.35435435    0.00150343
   44.41441441    0.00148293
   44.47447447    0.00146208
   44.53453453    0.00144153
   44.59459459    0.00142185
   44.65465465    0.00140348
   44.71471471    0.00138675
   44.77477477    0.00137181
   44.83483483    0.00135871
   44.89489489    0.00134729
   44.95495495    0.00133732
   45.01501502    0.00132841
   45.07507508    0.00132016
   45.13513514    0.00131216
   45.19519520    0.00130411
   45.25525526    0.00129583
   45.31531532    0.00128730
   45.37537538    0.00127864
   45.43543544    0.00127006
   45.49549550    0.00126181
   45.55555556    0.00125412
   45.61561562    0.00124720
   45.67567568    0.00124117
   45.73573574    0.00123611
   45.79579580    0.00123203
   45.85585586    0.00122887
   45.91591592    0.00122653
   45.97597598    0.00122485
   46.03603604    0.00122368
   46.09609610    0.00122288
   46.15615616    0.00122234
   46.21621622    0.00122202
   46.27627628    0.00122195
   46.33633634    0.00122219
   46.39639640    0.00122287
   46.45645646    0.00122411
   46.51651652    0.00122603
   46.57657658    0.00122873
   46.63663664    0.00123225
   46.69669670    0.00123661
   46.75675676    0.00124175
   46.81681682    0.00124753
   46.87687688    0.00125367
   46.93693694    0.00125977
   46.99699700    0.00126528
   47.05705706    0.00126950
   47.11711712    0.00127162
   47.17717718    0.00127088
   47.23723724    0.00126656
   47.29729730    0.00125821
   47.35735736    0.00124563
   47.41741742    0.00122897
   47.47747748    0.00120868
   47.53753754    0.00118543
   47.59759760    0.00116005
   47.65765766    0.00113342
   47.71771772    0.00110638
   47.77777778    0.00107971
   47.83783784    0.00105407
   47.89789790    0.00103001
   47.95795796    0.00100798
   48.01801802    0.00098831
   48.07807808    0.00097124
   48.13813814    0.00095693
   48.19819820    0.00094545
   48.25825826    0.00093685
   48.31831832    0.00093108
   48.37837838    0.00092810
   48.43843844    0.00092781
   48.49849850    0.00093007
   48.55855856    0.00093475
   48.61861862    0.00094165
   48.67867868    0.00095055
   48.73873874    0.00096115
   48.79879880    0.00097311
   48.85885886    0.00098601
   48.91891892    0.00099936
   48.97897898    0.00101262
   49.03903904    0.00102529
   49.09909910    0.00103689
   49.15915916    0.00104704
   49.21921922    0.00105553
   49.27927928    0.00106228
   49.33933934    0.00106738
   49.39939940    0.00107103
   49.45945946    0.00107351
   49.51951952    0.00107510
   49.57957958    0.00107608
   49.63963964    0.00107665
   49.69969970    0.00107695
   49.75975976    0.00107698
   49.81981982    0.00107668
   49.87987988    0.00107588
   49.93993994    0.00107436
   50.00000000    0.00107185
